"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author"
"Listen to Music",0,"HaveNotRead","Hard-knowledge","Music Appreciation",0,1,"Art","ART",,"P","NA","Craig Wright"
"Skin Aging",0.2,"PartialReading","Hard-knowledge","Beauty-Theory",0,1,"Beauty&Health","BTH",,"P","NA","Gilchrest, Barbara A."
"Cosmeceuticals and Cosmetic Ingredients",0,"HaveNotRead","Hard-knowledge","Beauty-Theory",0,1,"Beauty&Health","BTH",,"P","NA","Baumann, Leslie"
"A Consumer's Dictionary of Cosmetic Ingredients, 7th Edition",0,"HaveNotRead","Hard-knowledge","Beauty-Theory",0,1,"Beauty&Health","BTH",,"P","NA","Winter, Ruth"
"自私的基因(The Selfish Gene)",0.2,"PartialReading","Hard-knowledge","Evolutionary psychology",0,1,"Biology","BIO",,"P","NA","Richard Dawkins"
"精子战争(Sperm Wars)",0.01,"PartialReading","Hard-knowledge","Evolutionary psychology",0,1,"Biology","BIO",,"P","NA",
"神似祖先",0,"PartialReading","Hard-knowledge","Evolutionary psychology",0,1,"Biology","BIO",,"P","NA","郑也夫"
"公司财务和治理机制",0.01,"PartialReading","Hard-knowledge","Company Finance",0,1,"Business & Economics & Management","BEM",,"P","NA",
"Marketing Management (14e Edition)",0.4,"PartialReading","Meta-Knowledge","Marketing Management",0,1,"Business & Economics & Management","BEM",,"P","NA","Kotler and Keller"
"国富论(The Wealth of Nation)",1,"ThroughReading","Meta-Knowledge","Economics classic",0,1,"Business & Economics & Management","BEM","Audio","P","NA","Adam Smith"
"黑客与画家(Heckers and Painters-Big Ideas from the Computer Age)",0.2,"PartialReading",,,0,1,"IT","IT",,"P","NA","Paul Graham"
"Testaments Betrayed ",0,"HaveNotRead",,,0,1,"Novels and Plays","NVL",,"P","NA","Milan Kundera"
"Life is elsewhere",0,"HaveNotRead",,,0,1,"Novels and Plays","NVL",,"P","NA","Milan Kundera"
"不朽",1,"ThroughReading",,,0,1,"Novels and Plays","NVL",,"P","NA","Milan Kundera"
"引爆流行( The Tipping Point)",1,"ThroughReading","Fastfood-knowledge",,0,1,"Other","OTH","Audio","P","NA","Malcolm Gladwell"
"How to Create a Mind: The Secret of Human Thought Revealed",0.1,"PartialReading","Hard-knowledge","How to use your brain?",0,1,"Other","OTH",,"P","NA","Kurzweil, Ray"
"Going Solo: The Extraordinary Rise and Surprising Appeal of Living Alone (单身社会)",0.2,"RoughReading","Hard-knowledge",,0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Eric Klinenberg"
"思考快与慢(Thinking Fast and Slow)",1,"ThroughReading","Meta-Knowledge","Critical Thinking-Rational",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Daniel Kahneman"
"孙子兵法(The Art of War)",1,"IntensiveReading","Meta-Knowledge","Tactics",0,1,"Philosophy and Psychology","PPY",,"P","NA","Sun Tzu"
"The Theory of Moral Sentiments(道德情操论)",1,"ThroughReading","Meta-Knowledge",,0,1,"Philosophy and Psychology","PPY",,"P","NA","Adam Smith"
"洗脑术：怎样有逻辑地说服他人",1,"ThroughReading","Fastfood-knowledge","Negotiation or persuasion",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","高德"
"亲密关系(Intimate Relationship)",1,"ThroughReading","Meta-Knowledge","Social Psychology",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Rowland S Miller and Daniel Perlman"
"悲剧心理学(The Psychology of Tragedy)",0,"HaveNotRead","Hard-knowledge",,0,1,"Philosophy and Psychology","PPY","Audio","P","NA","朱光潜(Chu Kwang Tsien)"
"Interpretation of Dreams",0.01,"PartialReading","Meta-Knowledge","Psychoanalysis",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Sigismund Sholomo Freud"
"The Old Regime and the French Revolution ",0.01,"RoughReading","Hard-knowledge","French Revolution",0,1,"Philosophy and Psychology","PPY","Audio","NA","P","Alexis de Tocqueville"
